
Task 45: B (1000): 1041 -> 1081 = (--431.5), max 11229, ROI = -143.1%

Task 46: C (2000): 899 -> 562 = (+4209.3), max 11229, ROI = 110.5%
Task 46: CC (4000): 899 -> 373 = (+6570.0), max 11229, ROI = 64.3%
Task 46: CCC (6000): 899 -> 345 = (+6919.8), max 11229, ROI = 15.3%
Task 46: CCCC (8000): 899 -> 314 = (+7307.0), max 11229, ROI = -8.7%
Task 46: B (1000): 899 -> 917 = (--224.8), max 11229, ROI = -122.5%

Task 47: C (2000): 885 -> 563 = (+4085.6), max 11229, ROI = 104.3%
Task 47: CC (4000): 885 -> 395 = (+6217.2), max 11229, ROI = 55.4%
Task 47: CCC (6000): 885 -> 357 = (+6699.3), max 11229, ROI = 11.7%
Task 47: CCCC (8000): 885 -> 330 = (+7041.9), max 11229, ROI = -12.0%
Task 47: B (1000): 885 -> 857 = (+355.3), max 11229, ROI = -64.5%

Task 48: C (2000): 1088 -> 649 = (+4530.8), max 11229, ROI = 126.5%
Task 48: CC (4000): 1088 -> 453 = (+6553.7), max 11229, ROI = 63.8%
Task 48: CCC (6000): 1088 -> 396 = (+7142.0), max 11229, ROI = 19.0%
Task 48: CCCC (8000): 1088 -> 331 = (+7812.8), max 11229, ROI = -2.3%
Task 48: B (1000): 1088 -> 1127 = (--402.5), max 11229, ROI = -140.3%

Task 49: C (2000): 898 -> 598 = (+3751.3), max 11229, ROI = 87.6%
Task 49: CC (4000): 898 -> 417 = (+6014.6), max 11229, ROI = 50.4%
Task 49: CCC (6000): 898 -> 328 = (+7127.5), max 11229, ROI = 18.8%
Task 49: CCCC (8000): 898 -> 277 = (+7765.3), max 11229, ROI = -2.9%
Task 49: B (1000): 898 -> 929 = (--387.6), max 11229, ROI = -138.8%

Task 50: C (2000): 1140 -> 785 = (+3496.8), max 11229, ROI = 74.8%
Task 50: CC (4000): 1140 -> 592 = (+5397.8), max 11229, ROI = 34.9%
Task 50: CCC (6000): 1140 -> 508 = (+6225.2), max 11229, ROI = 3.8%
Task 50: CCCC (8000): 1140 -> 464 = (+6658.6), max 11229, ROI = -16.8%
Task 50: B (1000): 1140 -> 1158 = (--177.3), max 11229, ROI = -117.7%

Task 51: C (2000): 2400 -> 1545 = (+4728.5), max 13273, ROI = 136.4%
Task 51: CC (4000): 2400 -> 1083 = (+7283.6), max 13273, ROI = 82.1%
Task 51: CCC (6000): 2400 -> 873 = (+8444.9), max 13273, ROI = 40.7%
Task 51: CCCC (8000): 2400 -> 687 = (+9473.6), max 13273, ROI = 18.4%
Task 51: B (1000): 2400 -> 2611 = (--1166.9), max 13273, ROI = -216.7%

Task 52: C (2000): 2398 -> 1511 = (+4909.6), max 13273, ROI = 145.5%
Task 52: CC (4000): 2398 -> 999 = (+7743.5), max 13273, ROI = 93.6%
Task 52: CCC (6000): 2398 -> 847 = (+8584.8), max 13273, ROI = 43.1%
Task 52: CCCC (8000): 2398 -> 720 = (+9287.8), max 13273, ROI = 16.1%
Task 52: B (1000): 2398 -> 2438 = (--221.4), max 13273, ROI = -122.1%

Task 53: C (2000): 2230 -> 1328 = (+5368.7), max 13273, ROI = 168.4%
Task 53: CC (4000): 2230 -> 957 = (+7576.9), max 13273, ROI = 89.4%
Task 53: CCC (6000): 2230 -> 733 = (+8910.2), max 13273, ROI = 48.5%
Task 53: CCCC (8000): 2230 -> 596 = (+9725.6), max 13273, ROI = 21.6%
Task 53: B (1000): 2230 -> 2228 = (+11.9), max 13273, ROI = -98.8%

Task 54: C (2000): 2199 -> 1326 = (+5183.2), max 13056, ROI = 159.2%
Task 54: CC (4000): 2199 -> 946 = (+7439.4), max 13056, ROI = 86.0%
Task 54: CCC (6000): 2199 -> 703 = (+8882.1), max 13056, ROI = 48.0%
Task 54: CCCC (8000): 2199 -> 622 = (+9363.0), max 13056, ROI = 17.0%
Task 54: B (1000): 2199 -> 2221 = (--130.6), max 13056, ROI = -113.1%

Task 55: C (2000): 2562 -> 1553 = (+5227.3), max 13273, ROI = 161.4%
Task 55: CC (4000): 2562 -> 1027 = (+7952.4), max 13273, ROI = 98.8%
Task 55: CCC (6000): 2562 -> 802 = (+9118.1), max 13273, ROI = 52.0%
Task 55: CCCC (8000): 2562 -> 665 = (+9827.8), max 13273, ROI = 22.8%
Task 55: B (1000): 2562 -> 2591 = (--150.2), max 13273, ROI = -115.0%

Task 56: C (2000): 2785 -> 1647 = (+5423.6), max 13273, ROI = 171.2%
Task 56: CC (4000): 2785 -> 1169 = (+7701.7), max 13273, ROI = 92.5%
Task 56: CCC (6000): 2785 -> 985 = (+8578.6), max 13273, ROI = 43.0%
Task 56: CCCC (8000): 2785 -> 804 = (+9441.2), max 13273, ROI = 18.0%
Task 56: B (1000): 2785 -> 2833 = (--228.8), max 13273, ROI = -122.9%

Task 57: C (2000): 2739 -> 1687 = (+5097.9), max 13273, ROI = 154.9%
Task 57: CC (4000): 2739 -> 1138 = (+7758.3), max 13273, ROI = 94.0%
Task 57: CCC (6000): 2739 -> 910 = (+8863.2), max 13273, ROI = 47.7%
Task 57: CCCC (8000): 2739 -> 748 = (+9648.2), max 13273, ROI = 20.6%
Task 57: B (1000): 2739 -> 2876 = (--663.9), max 13273, ROI = -166.4%

Task 58: C (2000): 2440 -> 1598 = (+4575.4), max 13259, ROI = 128.8%
Task 58: CC (4000): 2440 -> 1073 = (+7428.3), max 13259, ROI = 85.7%
Task 58: CCC (6000): 2440 -> 863 = (+8569.4), max 13259, ROI = 42.8%
Task 58: CCCC (8000): 2440 -> 719 = (+9351.9), max 13259, ROI = 16.9%
Task 58: B (1000): 2440 -> 2552 = (--608.6), max 13259, ROI = -160.9%

Task 59: C (2000): 2496 -> 1599 = (+4770.0), max 13273, ROI = 138.5%
Task 59: CC (4000): 2496 -> 1107 = (+7386.3), max 13273, ROI = 84.7%
Task 59: CCC (6000): 2496 -> 911 = (+8428.6), max 13273, ROI = 40.5%
Task 59: CCCC (8000): 2496 -> 718 = (+9454.9), max 13273, ROI = 18.2%
Task 59: B (1000): 2496 -> 2591 = (--505.2), max 13273, ROI = -150.5%

Task 60: C (2000): 1862 -> 1150 = (+5075.4), max 13273, ROI = 153.8%
Task 60: CC (4000): 1862 -> 827 = (+7377.8), max 13273, ROI = 84.4%
Task 60: CCC (6000): 1862 -> 668 = (+8511.3), max 13273, ROI = 41.9%
Task 60: CCCC (8000): 1862 -> 574 = (+9181.3), max 13273, ROI = 14.8%
Task 60: B (1000): 1862 -> 1887 = (--178.2), max 13273, ROI = -117.8%

Task 61: C (2000): 2429 -> 1563 = (+4727.2), max 13259, ROI = 136.4%
Task 61: CC (4000): 2429 -> 1059 = (+7478.3), max 13259, ROI = 87.0%
Task 61: CCC (6000): 2429 -> 825 = (+8755.6), max 13259, ROI = 45.9%
Task 61: CCCC (8000): 2429 -> 706 = (+9405.2), max 13259, ROI = 17.6%
Task 61: B (1000): 2429 -> 2474 = (--245.6), max 13259, ROI = -124.6%

Task 62: C (2000): 2898 -> 1771 = (+5161.7), max 13273, ROI = 158.1%
Task 62: CC (4000): 2898 -> 1194 = (+7804.4), max 13273, ROI = 95.1%
Task 62: CCC (6000): 2898 -> 966 = (+8848.7), max 13273, ROI = 47.5%
Task 62: CCCC (8000): 2898 -> 765 = (+9769.3), max 13273, ROI = 22.1%
Task 62: B (1000): 2898 -> 3024 = (--577.1), max 13273, ROI = -157.7%

Task 63: C (2000): 2746 -> 1740 = (+4862.6), max 13273, ROI = 143.1%
Task 63: CC (4000): 2746 -> 1223 = (+7361.5), max 13273, ROI = 84.0%
Task 63: CCC (6000): 2746 -> 948 = (+8690.8), max 13273, ROI = 44.8%
Task 63: CCCC (8000): 2746 -> 803 = (+9391.6), max 13273, ROI = 17.4%
Task 63: B (1000): 2746 -> 2905 = (--768.5), max 13273, ROI = -176.9%

Task 64: C (2000): 2540 -> 1480 = (+5539.1), max 13273, ROI = 177.0%
Task 64: CC (4000): 2540 -> 1065 = (+7707.7), max 13273, ROI = 92.7%
Task 64: CCC (6000): 2540 -> 835 = (+8909.6), max 13273, ROI = 48.5%
Task 64: CCCC (8000): 2540 -> 712 = (+9552.4), max 13273, ROI = 19.4%
Task 64: B (1000): 2540 -> 2557 = (--88.8), max 13273, ROI = -108.9%

Task 65: C (2000): 3152 -> 1900 = (+5272.1), max 13273, ROI = 163.6%
Task 65: CC (4000): 3152 -> 1376 = (+7478.7), max 13273, ROI = 87.0%
Task 65: CCC (6000): 3152 -> 1056 = (+8826.2), max 13273, ROI = 47.1%
Task 65: CCCC (8000): 3152 -> 852 = (+9685.2), max 13273, ROI = 21.1%
Task 65: B (1000): 3152 -> 3284 = (--555.8), max 13273, ROI = -155.6%

